<3> 2019-04-25 14:21:55  DM_Log_Init, success
<3> 2019-04-25 14:21:55  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:21:55  DM_Get_Sys_Info, success
<3> 2019-04-25 14:21:55  DM_Get_User_info, <In>
<3> 2019-04-25 14:21:55  DM_Get_User_info, success
<3> 2019-04-25 14:21:55  DM_Open, success
<3> 2019-04-25 14:21:55  DM_Close, success
<3> 2019-04-25 14:22:33  DM_Log_Init, success
<3> 2019-04-25 14:22:33  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:22:33  DM_Get_Sys_Info, success
<3> 2019-04-25 14:22:33  DM_Get_User_info, <In>
<3> 2019-04-25 14:22:33  DM_Get_User_info, success
<3> 2019-04-25 14:22:33  DM_Open, success
<3> 2019-04-25 14:22:33  DM_Close, success
<3> 2019-04-25 14:24:28  DM_Log_Init, success
<3> 2019-04-25 14:24:28  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:24:28  DM_Get_Sys_Info, success
<3> 2019-04-25 14:24:28  DM_Get_User_info, <In>
<3> 2019-04-25 14:24:28  DM_Get_User_info, success
<3> 2019-04-25 14:24:28  DM_Open, success
<3> 2019-04-25 14:24:28  DM_Close, success
<3> 2019-04-25 14:24:30  DM_Log_Init, success
<3> 2019-04-25 14:24:30  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:24:30  DM_Get_Sys_Info, success
<3> 2019-04-25 14:24:30  DM_Get_User_info, <In>
<3> 2019-04-25 14:24:30  DM_Get_User_info, success
<3> 2019-04-25 14:24:30  DM_Open, success
<3> 2019-04-25 14:24:30  DM_Close, success
<3> 2019-04-25 14:24:37  DM_Log_Init, success
<3> 2019-04-25 14:24:37  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:24:37  DM_Get_Sys_Info, success
<3> 2019-04-25 14:24:37  DM_Get_User_info, <In>
<3> 2019-04-25 14:24:37  DM_Get_User_info, success
<3> 2019-04-25 14:24:37  DM_Open, success
<3> 2019-04-25 14:24:37  DM_Close, success
<3> 2019-04-25 14:24:47  DM_Log_Init, success
<3> 2019-04-25 14:24:47  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:24:47  DM_Get_Sys_Info, success
<3> 2019-04-25 14:24:47  DM_Get_User_info, <In>
<3> 2019-04-25 14:24:47  DM_Get_User_info, success
<3> 2019-04-25 14:24:47  DM_Open, success
<3> 2019-04-25 14:24:47  DM_Close, success
<3> 2019-04-25 14:28:33  DM_Log_Init, success
<3> 2019-04-25 14:28:33  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:28:33  DM_Get_Sys_Info, success
<3> 2019-04-25 14:28:33  DM_Get_User_info, <In>
<3> 2019-04-25 14:28:33  DM_Get_User_info, success
<3> 2019-04-25 14:28:33  DM_Open, success
<3> 2019-04-25 14:28:33  DM_Close, success
<3> 2019-04-25 14:28:49  DM_Log_Init, success
<3> 2019-04-25 14:28:49  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:28:49  DM_Get_Sys_Info, success
<3> 2019-04-25 14:28:49  DM_Get_User_info, <In>
<3> 2019-04-25 14:28:49  DM_Get_User_info, success
<3> 2019-04-25 14:28:49  DM_Open, success
<3> 2019-04-25 14:28:49  DM_Close, success
<3> 2019-04-25 14:34:55  DM_Log_Init, success
<3> 2019-04-25 14:34:55  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:34:56  DM_Get_Sys_Info, success
<3> 2019-04-25 14:34:56  DM_Get_User_info, <In>
<3> 2019-04-25 14:34:56  DM_Get_User_info, success
<3> 2019-04-25 14:34:56  DM_Open, success
<3> 2019-04-25 14:34:56  DM_Close, success
<3> 2019-04-25 14:35:21  DM_Log_Init, success
<3> 2019-04-25 14:35:21  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:35:21  DM_Get_Sys_Info, success
<3> 2019-04-25 14:35:21  DM_Get_User_info, <In>
<3> 2019-04-25 14:35:21  DM_Get_User_info, success
<3> 2019-04-25 14:35:21  DM_Open, success
<3> 2019-04-25 14:35:21  DM_Close, success
<3> 2019-04-25 14:37:28  DM_Log_Init, success
<3> 2019-04-25 14:37:28  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:37:28  DM_Get_Sys_Info, success
<3> 2019-04-25 14:37:28  DM_Get_User_info, <In>
<3> 2019-04-25 14:37:28  DM_Get_User_info, success
<3> 2019-04-25 14:37:28  DM_Open, success
<3> 2019-04-25 14:37:28  DM_Close, success
<3> 2019-04-25 14:37:30  DM_Log_Init, success
<3> 2019-04-25 14:37:30  DM_Get_Sys_Info, <In>
<3> 2019-04-25 14:37:30  DM_Get_Sys_Info, success
<3> 2019-04-25 14:37:30  DM_Get_User_info, <In>
<3> 2019-04-25 14:37:30  DM_Get_User_info, success
<3> 2019-04-25 14:37:30  DM_Open, success
