<3> 2019-04-26 08:46:13  DM_Log_Init, success
<3> 2019-04-26 08:46:13  DM_Get_Sys_Info, <In>
<3> 2019-04-26 08:46:13  DM_Get_Sys_Info, success
<3> 2019-04-26 08:46:13  DM_Get_User_info, <In>
<3> 2019-04-26 08:46:21  DM_Get_User_info, success
<3> 2019-04-26 08:46:21  DM_Open, success
<3> 2019-04-26 08:46:21  DM_Close, success
<3> 2019-04-26 08:57:25  DM_Log_Init, success
<3> 2019-04-26 08:57:25  DM_Get_Sys_Info, <In>
<3> 2019-04-26 08:57:26  DM_Get_Sys_Info, success
<3> 2019-04-26 08:57:26  DM_Get_User_info, <In>
<3> 2019-04-26 08:57:36  DM_Get_User_info, success
<3> 2019-04-26 08:57:36  DM_Open, success
<3> 2019-04-26 08:57:36  DM_Close, success
<3> 2019-04-26 08:57:44  DM_Log_Init, success
<3> 2019-04-26 08:57:44  DM_Get_Sys_Info, <In>
<3> 2019-04-26 08:57:44  DM_Get_Sys_Info, success
<3> 2019-04-26 08:57:44  DM_Get_User_info, <In>
<3> 2019-04-26 08:57:55  DM_Get_User_info, success
<3> 2019-04-26 08:57:55  DM_Open, success
<3> 2019-04-26 08:57:55  DM_Close, success
<3> 2019-04-26 09:04:10  DM_Log_Init, success
<3> 2019-04-26 09:04:10  DM_Get_Sys_Info, <In>
<3> 2019-04-26 09:04:10  DM_Get_Sys_Info, success
<3> 2019-04-26 09:04:10  DM_Get_User_info, <In>
<3> 2019-04-26 09:04:16  DM_Get_User_info, success
<3> 2019-04-26 09:04:16  DM_Open, success
<3> 2019-04-26 09:04:16  DM_Close, success
<3> 2019-04-26 09:04:21  DM_Log_Init, success
<3> 2019-04-26 09:04:21  DM_Get_Sys_Info, <In>
<3> 2019-04-26 09:04:21  DM_Get_Sys_Info, success
<3> 2019-04-26 09:04:21  DM_Get_User_info, <In>
<3> 2019-04-26 09:04:29  DM_Get_User_info, success
<3> 2019-04-26 09:04:29  DM_Open, success
<3> 2019-04-26 09:04:29  DM_Close, success
<3> 2019-04-26 09:07:17  DM_Log_Init, success
<3> 2019-04-26 09:07:17  DM_Get_Sys_Info, <In>
<3> 2019-04-26 09:07:17  DM_Get_Sys_Info, success
<3> 2019-04-26 09:07:17  DM_Get_User_info, <In>
<3> 2019-04-26 09:07:23  DM_Get_User_info, success
<3> 2019-04-26 09:07:23  DM_Open, success
<3> 2019-04-26 09:07:23  DM_Close, success
<3> 2019-04-26 09:08:07  DM_Log_Init, success
<3> 2019-04-26 09:08:07  DM_Get_Sys_Info, <In>
<3> 2019-04-26 09:08:07  DM_Get_Sys_Info, success
<3> 2019-04-26 09:08:07  DM_Get_User_info, <In>
<3> 2019-04-26 09:08:07  DM_Get_User_info, success
<3> 2019-04-26 09:08:07  DM_Open, success
<3> 2019-04-26 09:08:07  DM_Close, success
<3> 2019-04-26 09:20:26  DM_Log_Init, success
<3> 2019-04-26 09:20:26  DM_Get_Sys_Info, <In>
