<3> 2019-04-27 09:15:00  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:15:00  DM_Get_Sys_Info, success
<3> 2019-04-27 09:15:00  DM_Get_User_info, <In>
<3> 2019-04-27 09:15:00  DM_Get_User_info, success
<3> 2019-04-27 09:15:00  DM_Get_Net_info, <In>
<3> 2019-04-27 09:15:00  DM_Get_Net_info, success
<3> 2019-04-27 09:15:00  DM_Open, success
<3> 2019-04-27 09:15:00  DM_Close, success
<3> 2019-04-27 09:15:40  DM_Log_Init, success
<3> 2019-04-27 09:15:40  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:15:41  DM_Get_Sys_Info, success
<3> 2019-04-27 09:15:41  DM_Get_User_info, <In>
<3> 2019-04-27 09:15:41  DM_Get_User_info, success
<3> 2019-04-27 09:15:41  DM_Get_Net_info, <In>
<3> 2019-04-27 09:15:41  DM_Get_Net_info, success
<3> 2019-04-27 09:15:41  DM_Open, success
<3> 2019-04-27 09:15:41  DM_Close, success
<3> 2019-04-27 09:17:27  DM_Log_Init, success
<3> 2019-04-27 09:17:27  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:17:27  DM_Get_Sys_Info, success
<3> 2019-04-27 09:17:27  DM_Get_User_info, <In>
<3> 2019-04-27 09:17:27  DM_Get_User_info, success
<3> 2019-04-27 09:17:27  DM_Get_Net_info, <In>
<3> 2019-04-27 09:17:27  DM_Get_Net_info, success
<3> 2019-04-27 09:17:27  DM_Open, success
<3> 2019-04-27 09:17:27  DM_Close, success
<3> 2019-04-27 09:18:03  DM_Log_Init, success
<3> 2019-04-27 09:18:03  DM_Get_Sys_Info, <In>
<3> 2019-04-27 09:18:03  DM_Get_Sys_Info, success
<3> 2019-04-27 09:18:03  DM_Get_User_info, <In>
<3> 2019-04-27 09:18:03  DM_Get_User_info, success
<3> 2019-04-27 09:18:03  DM_Get_Net_info, <In>
<3> 2019-04-27 09:18:03  DM_Get_Net_info, success
<3> 2019-04-27 09:18:03  DM_Open, success
<3> 2019-04-27 09:18:03  DM_Close, success
<3> 2019-04-27 10:00:38  DM_Log_Init, success
<3> 2019-04-27 10:00:38  DM_Get_Sys_Info, <In>
<3> 2019-04-27 10:00:38  DM_Get_Sys_Info, success
<3> 2019-04-27 10:00:38  DM_Get_User_info, <In>
<3> 2019-04-27 10:00:38  DM_Get_User_info, success
<3> 2019-04-27 10:00:38  DM_Get_Net_info, <In>
<3> 2019-04-27 10:00:38  DM_Get_Net_info, success
<3> 2019-04-27 10:00:38  DM_Open, success
<3> 2019-04-27 10:00:38  DM_Close, success
<3> 2019-04-27 10:01:34  DM_Log_Init, success
<3> 2019-04-27 10:01:34  DM_Get_Sys_Info, <In>
<3> 2019-04-27 10:01:34  DM_Get_Sys_Info, success
